# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=direction_c_survey
# protocol=docs/DIRECTION_C_SURVEY_PROTOCOL.md (committed eb3eda5, data-free)
# config_hash=9093abee868ad637
# ⚠️ UNREADABLE rows are EXCLUDED from the denominator (protocol §3):
#    a scanned PDF yields zero hits for reasons unrelated to its authors.
paper,ns3,pilot,chars_extracted,keyword_hits,verdict,adjudication_note,hit_contexts,extract_error
abakar2022_multigateway_lorawan_ns3,1,0,39245,0,NONE,"Future Internet 14(11):312, 2022, DOI 10.3390/fi14110312. Zero keyword hits: no seed count, run count, CI or dispersion measure anywhere in the text.",,
anwar2021_rmadr_mobile_lorawan_ns3,1,0,42028,1,NONE,"Sensors 2021, DOI 10.3390/s21237980, via Europe PMC. Sole hit is a FALSE POSITIVE: 'Standard Deviation of averaged SNR of P packets' is a RELATED WORK's signal-processing statistic, not dispersion across simulation runs. ⚠️ Nearly lost to a screening artifact: this paper writes 'network simulator (ns)-3', which our ns-3 regex missed (0 matches). It was caught by reading, not by the sweep, and it qualifies.","ture of the buildings. 2.3. ADR Enhancement The authors in [26] proposes an ADR using the Standard Deviation of averaged SNR of P packets (i.e., P = 20). Their method shows improved performance in t",
batteryless_energy_harvesting_node_ns3_2021,1,0,33743,1,NONE,"arXiv 2103.14596. Sole hit is a FALSE POSITIVE: 'message repetitions or the use of a higher transmission power' is the LoRaWAN protocol's repetition feature, not simulation replication.","ies. For example, the communication could benefit from the robustness provided by message repetitions or the use of a higher transmission power, but this will impact the energy autonomy of th",
durand2025_loramesh_ns3,1,1,78786,2,NONE,"both hits FALSE POSITIVES: 'routing information is repeated for a fixed number of cycles' (routing protocol) and 'packet collisions being repeated for every transmission cycle' (their own result). ⚠️ The second hit is PRIOR ART on Direction C's phenomenon -- see F42; it is not replication reporting, so the verdict stands as NONE.","n each child/parent node to the network server, and distribute the routing information is repeated for a fixed number of cycles, de- pending on the network’s maximum number of hops. Once a || pecific SF, time, and channel; therefore, this results in certain packet collisions being repeated for every transmission cycle. Sensors 2025, 25, 1602 22 of 24 This highlights the need fo",
experimental_eval_lorawan_itnac2018_ns3,1,0,34959,0,NONE,arXiv 2009.09503. Added 2026-08-08 in the n->20 sweep. Awaiting hand adjudication.,,
favero2025_lora_mars_ns3,1,0,28537,0,NONE,arXiv 2412.19549. Added 2026-08-08 in the n->20 sweep. Awaiting hand adjudication.,,
finnegan2018_classb_gateway_scalability_ns3,1,0,29123,0,NONE,"IEEE CSCN 2018, DOI 10.1109/CSCN.2018.8581759; OA copy Maynooth repository. Added 2026-08-08. Awaiting hand adjudication.",,
klimiashvili2020_lora_vs_wifi_adhoc_ns3,1,0,38049,2,REPORTS,"Added 2026-08-07, AFTER the protocol was fixed (eb3eda5) and therefore NOT a pilot entry. Verdict REPORTS, adjudicated by hand: 'All the results presented in this section are the average of 50 independent runs over channel realization and nodes' position.' That is an explicit run count, which is exactly what H1 says is absent. ⚠️ This is the first counter-example in the corpus and it was recorded as such rather than excluded.","network topologies. node acts as a source and sends a message to the sink node. To better replicate real scenarios, we also consider additional ﬂows between randomly selected nodes, to eval || y and energy consumption. All the results presented in this section are the average of 50 independent runs over channel realization and nodes’ position. B. Impact of Distance In order to evaluate",
kouvelas2018_pcsma_lora_ns3,1,0,27161,0,NONE,arXiv 1805.12263. Added 2026-08-08 in the n->20 sweep. Awaiting hand adjudication.,,
kufakunesu2022_fuzzy_adr_lorawan_ns3,1,0,69281,1,REPORTS,"JSAN 11(4):65, 2022, DOI 10.3390/jsan11040065. Verdict REPORTS on a direct quotation: 'Ten simulations were run with different seeds of random number generator in order to get the statistical confidence of the performance metrics.' Run count, seed variation AND the stated purpose. The clearest REPORTS in the corpus.",and their number does not change in the network. Ten simulations were run with different seeds of random number generator in order to get the statistical conﬁdence of the performance m,
kufakunesu2024_collision_avoidance_adr_ns3,1,0,53763,1,REPORTS,"Future Internet 16(10):380, 2024, DOI 10.3390/fi16100380. Verdict REPORTS: the simulation parameters table carries the row 'Simulation Runs | 10'. An explicit run count, stated where a reader will find it.","150, 200, 250, 300 Network Radius 5000 m Number of GWs 1 Number of NS 1 Payload 20 Bytes Simulation Runs 10 Simulation Time 6.6 h App. Data Packet Rate 1 packet per 300 s, 600 s, 900 s, 1200 s,",
lauridsen2019_single_gateway_lorawan_model_ns3,1,0,71616,5,NONE,"arXiv 1912.01285. ⚠️ The CLOSEST CALL in the corpus, and adjudicated NONE on the protocol's stated criterion. Five hits: three are the LoRaWAN protocol's `repetitions` parameter (m, h) and one is ns-3 EXECUTION TIME ('each ns-3 simulation run takes tens of seconds'), all false positives. The fifth is real but insufficient: 'the positions of the nodes are randomly picked at each simulation run' tells a reader that runs vary WITHOUT giving a count, CI or dispersion -- none of the four things H1 names. Recorded in fairness: they DO publish their implementation so readers 'can easily replicate the results', which is better practice than most of the corpus, and is simply not the quantity being measured.","ovided in [24]. An implementation of the model, allowing the interested readers to easily replicate the results shown in this paper, is publicly available at [25]. G. Performance metrics To || aluation is basically instantaneous when employing the theoretical model, while each ns-3 simulation run takes in the order of tens of seconds, with execution times rapidly increasing when the t || absence of interference). Instead, the positions of the nodes are randomly picked at each simulation run. SFs are assigned uniformly (see Tab. II, pequal). A different SF distribution (pEXPLoRa) || m = 8,h = 8,τ = 1,α = 0.3. transmissions for conﬁrmed trafﬁc to m = 8 , and the number of repetitions for unconﬁrmed trafﬁc to h = 1. As the fraction of EDs employing conﬁrmed trafﬁc increase || lues (8 here) up to λ = 1. After this value, instead, it pays off to reduce the number of repetitions employed by both unconﬁrmed and conﬁrmed EDs. Although this analysis showcases the potent",
